date,open,close,high,low,volume,code
2015-01-13,138.0,138.26,142.8,137.0,11922.0,110030
2015-01-14,138.58,139.81,142.03,137.11,27424.0,110030
2015-01-15,139.2,139.84,141.2,138.81,7731.0,110030
2015-01-16,139.99,143.35,145.6,139.99,8817.0,110030
2015-01-19,141.04,139.46,141.05,139.0,7307.0,110030
2015-01-20,140.0,141.79,142.27,139.07,4386.0,110030
2015-01-21,141.9,146.15,147.71,141.9,4459.0,110030
2015-01-22,146.15,153.19,158.0,146.15,4771.0,110030
2015-01-23,155.18,156.5,158.5,154.5,2337.0,110030
2015-01-26,157.85,156.06,157.85,153.0,2134.0,110030
2015-01-27,156.07,154.0,156.99,151.01,1701.0,110030
2015-01-28,153.0,152.02,154.94,149.0,1675.0,110030
2015-01-29,153.0,154.63,156.0,149.5,3850.0,110030
2015-01-30,152.9,153.51,160.0,152.9,3875.0,110030
2015-02-02,150.08,149.8,155.0,149.65,2416.0,110030
2015-02-03,150.88,150.04,151.73,147.1,2807.0,110030
2015-02-04,152.3,159.09,161.0,152.3,6734.0,110030
2015-02-05,172.99,150.55,176.2,150.0,7437.0,110030
2015-02-06,150.6,149.13,154.22,148.0,3471.0,110030
2015-02-09,147.88,149.27,149.35,147.88,2452.0,110030
2015-02-10,150.01,153.55,156.97,150.01,2666.0,110030
2015-02-11,154.99,156.95,159.0,154.99,1050.0,110030
2015-02-12,156.6,158.1,158.5,155.21,466.0,110030
2015-02-13,157.02,165.53,166.63,157.0,1700.0,110030
2015-02-16,165.05,166.71,168.0,165.0,62.0,110030
2015-02-17,166.75,172.38,172.79,166.71,2258.0,110030
2015-02-25,172.51,167.52,173.97,166.01,1369.0,110030
2015-02-26,164.03,168.37,168.7,164.03,1032.0,110030
2015-02-27,168.37,166.75,168.97,166.5,268.0,110030
2015-03-02,168.5,165.31,172.0,165.12,1006.0,110030
2015-03-03,164.31,162.35,165.97,160.03,1099.0,110030
2015-03-04,162.58,160.56,162.58,159.0,2108.0,110030
2015-03-05,160.99,159.67,160.99,159.2,639.0,110030
2015-03-06,160.25,159.73,164.66,158.0,1237.0,110030
2015-03-09,160.26,160.0,160.26,157.89,490.0,110030
2015-03-10,160.49,161.18,162.49,159.11,136.0,110030
2015-03-11,161.7,160.26,162.5,160.03,314.0,110030
2015-03-12,160.79,159.78,160.79,158.7,760.0,110030
2015-03-13,160.26,163.0,165.79,160.0,888.0,110030
2015-03-16,163.0,166.52,169.98,163.0,1359.0,110030
2015-03-17,166.52,169.88,172.0,166.52,2128.0,110030
2015-03-18,169.8,168.3,172.7,167.8,155.0,110030
2015-03-19,169.3,163.61,170.88,163.41,695.0,110030
2015-03-20,163.62,169.0,169.3,163.62,1683.0,110030
2015-03-23,168.0,174.05,174.05,168.0,3203.0,110030
2015-03-24,176.0,177.0,178.0,171.6,3241.0,110030
2015-03-25,179.0,177.0,184.0,177.0,4019.0,110030
2015-03-26,177.0,175.0,177.0,172.0,656.0,110030
2015-03-27,175.51,176.51,180.0,173.22,122.71,110030
2015-03-30,174.54,176.02,182.21,172.25,3187.0,110030
2015-03-31,178.0,169.8,180.93,169.8,537.0,110030
2015-04-01,172.49,169.31,172.49,169.0,562.0,110030
2015-04-02,170.99,169.7,170.99,169.02,768.0,110030
2015-04-03,170.0,167.13,170.0,167.0,1012.0,110030
2015-04-07,168.69,165.37,168.69,164.6,3297.0,110030
2015-04-08,165.97,165.4,166.2,164.62,2706.0,110030
2015-04-09,165.99,162.16,165.99,161.5,3270.0,110030
2015-04-28,182.05,181.53,196.0,175.7,6900.0,110030
2015-04-29,177.11,176.52,181.0,173.0,4946.0,110030
2015-04-30,178.0,183.98,185.33,176.33,4104.0,110030
2015-05-04,179.19,177.63,182.9,177.11,607.0,110030
2015-05-05,175.03,169.0,175.55,168.5,2942.0,110030
2015-05-06,166.7,159.1,171.0,154.12,4051.0,110030
2015-05-07,159.49,159.56,162.0,157.14,996.0,110030
2015-05-08,160.88,163.34,166.9,160.87,3321.0,110030
2015-05-11,166.88,170.01,170.03,163.46,2313.0,110030
2015-05-12,171.99,174.02,177.0,169.0,2489.0,110030
2015-05-13,175.68,173.13,176.38,169.01,1969.0,110030
2015-05-14,169.18,175.3,178.0,169.11,435.0,110030
2015-05-15,175.3,172.05,175.3,168.02,1296.0,110030
2015-05-18,169.04,172.01,174.5,169.04,900.0,110030
2015-05-19,172.01,175.04,185.0,167.85,2981.0,110030
2015-05-20,176.28,177.0,178.05,175.05,1220.0,110030
2015-05-21,178.25,180.94,181.95,177.33,896.0,110030
2015-05-22,183.0,189.12,215.2,180.52,2617.0,110030
2015-05-25,188.5,198.1,202.0,185.5,25875.0,110030
2015-05-26,198.78,218.01,221.8,188.78,57234.0,110030
2015-05-27,203.0,235.69,241.98,203.0,51025.0,110030
2015-05-28,236.98,227.47,260.0,222.0,72668.0,110030
2015-05-29,236.98,237.64,244.98,210.0,32443.0,110030
2015-06-01,243.02,289.36,290.0,242.53,22835.0,110030
2015-06-02,290.0,281.88,318.0,270.0,55174.0,110030
2015-06-03,290.0,275.54,290.0,256.36,47247.0,110030
2015-06-04,276.0,258.61,276.0,250.0,30800.0,110030
2015-06-05,265.0,253.74,280.0,253.0,25499.0,110030
2015-06-08,253.55,243.85,256.98,241.0,21277.0,110030
2015-06-09,247.0,243.69,260.0,227.0,52358.0,110030
2015-06-10,245.98,238.21,246.9,234.11,9073.0,110030
2015-06-11,238.92,240.83,243.89,238.36,17544.0,110030
2015-06-12,241.01,232.68,245.0,232.0,13268.0,110030
2015-06-15,232.68,221.71,233.5,221.5,32220.0,110030
2015-06-16,222.18,205.69,222.19,205.0,18669.0,110030
2015-06-17,207.8,200.58,207.8,187.9,54660.0,110030
2015-06-18,202.2,198.19,220.57,198.0,55644.0,110030
2015-06-19,195.99,188.02,206.0,188.0,39840.0,110030
2015-06-23,188.28,195.02,200.0,171.0,78465.0,110030
2015-06-24,198.2,199.31,205.99,190.0,79374.0,110030
2015-06-25,202.48,187.26,203.0,187.0,71897.0,110030
2015-06-26,184.01,158.01,184.99,157.6,93694.0,110030
2015-06-29,166.01,155.14,175.39,145.0,242844.0,110030
2015-06-30,152.0,192.38,194.0,151.0,176569.0,110030
2015-07-01,192.38,174.56,200.0,171.0,222059.0,110030
2015-07-02,187.0,170.5,187.98,168.21,256331.0,110030
2015-07-03,162.0,169.72,192.15,162.0,19362.0,110030
2015-07-06,201.1,170.43,201.1,167.74,32692.0,110030
2015-07-07,169.5,148.57,170.2,141.55,15788.0,110030
2015-07-10,170.0,178.8,193.1,162.0,74391.0,110030
2015-07-13,181.99,158.77,186.4,157.0,124259.0,110030
2015-07-14,152.3,154.58,166.6,152.0,105185.0,110030
2015-07-15,154.0,140.58,156.5,140.07,44299.0,110030
2015-07-16,140.87,140.65,153.49,137.1,76256.0,110030
2015-07-17,144.01,148.49,151.0,141.33,56186.0,110030
2015-07-20,149.0,154.06,160.0,148.01,52022.0,110030
2015-07-21,155.0,156.45,159.3,153.01,47997.0,110030
2015-07-22,157.0,153.27,159.38,152.15,37059.0,110030
2015-07-23,154.65,162.11,162.5,154.0,58035.0,110030
2015-07-24,164.19,156.06,170.8,153.1,54138.0,110030
2015-07-27,156.0,141.34,159.0,141.0,30184.0,110030
2015-07-28,138.5,138.85,151.7,130.05,99552.0,110030
2015-07-29,144.0,143.47,146.0,138.48,75011.0,110030
2015-07-30,143.44,138.66,145.33,138.14,47627.0,110030
2015-07-31,139.23,138.15,140.96,136.55,35641.0,110030
2015-08-03,138.66,133.71,139.28,133.15,18135.0,110030
2015-08-04,136.0,144.04,145.0,134.68,44648.0,110030
2015-08-05,145.12,142.79,146.0,141.99,29100.0,110030
2015-08-06,142.0,140.95,144.0,140.59,34310.0,110030
2015-08-07,142.45,146.21,148.95,142.45,53157.0,110030
2015-08-10,148.8,156.12,159.8,148.0,38566.0,110030
2015-08-14,161.0,155.36,165.0,154.0,35469.0,110030
2015-08-17,155.08,152.92,158.59,148.61,32084.0,110030
2015-08-18,153.61,140.18,153.89,138.0,31077.0,110030
2015-08-19,139.0,143.02,148.8,138.01,527800.0,110030
2015-08-20,142.4,140.71,144.0,140.66,41037.0,110030
2015-08-21,140.98,136.07,141.5,136.0,16147.0,110030
2015-08-24,135.0,125.03,135.0,122.62,14626.0,110030
2015-08-25,125.03,121.58,130.02,121.03,42244.0,110030
2015-08-26,126.0,122.45,132.95,122.0,81085.0,110030
2015-08-27,126.1,129.51,130.0,126.0,51983.0,110030
2015-08-28,132.0,134.87,135.17,132.0,50109.0,110030
2015-08-31,133.68,130.93,134.0,130.51,31376.0,110030
2015-09-01,131.63,129.47,133.3,129.23,27683.0,110030
